timestamp,risk_score,anomaly_score,risk_level,event_label
2026-01-01 08:00:00,0.1062,0.0222,low,0
2026-01-01 08:05:00,0.0097,0.0121,low,0
2026-01-01 08:10:00,0.0345,0.0452,low,0
2026-01-01 08:15:00,0.0,0.1214,low,0
2026-01-01 08:20:00,0.0196,0.0349,low,0
2026-01-01 08:25:00,0.0175,0.0981,low,0
2026-01-01 08:30:00,0.019,0.0397,low,0
2026-01-01 08:35:00,0.0259,0.0815,low,0
2026-01-01 08:40:00,0.0379,0.0662,low,0
2026-01-01 08:45:00,0.009,0.1068,low,0
2026-01-01 08:50:00,0.0004,0.0334,low,0
2026-01-01 08:55:00,0.0098,0.0,low,0
2026-01-01 09:00:00,0.0,0.0,low,0
2026-01-01 09:05:00,0.0226,0.0413,low,0
2026-01-01 09:10:00,0.0988,0.0321,low,0
2026-01-01 09:15:00,0.0464,0.0968,low,0
2026-01-01 09:20:00,0.0894,0.068,low,0
2026-01-01 09:25:00,0.0823,0.2075,low,0
2026-01-01 09:30:00,0.0389,0.0,low,0
2026-01-01 09:35:00,0.0,0.0702,low,0
2026-01-01 09:40:00,0.0,0.0036,low,0
2026-01-01 09:45:00,0.0132,0.0399,low,0
2026-01-01 09:50:00,0.0173,0.0731,low,0
2026-01-01 09:55:00,0.0068,0.0,low,0
2026-01-01 10:00:00,0.0268,0.0812,low,0
2026-01-01 10:05:00,0.0016,0.1557,low,0
2026-01-01 10:10:00,0.0312,0.0482,low,0
2026-01-01 10:15:00,0.047,0.0894,low,0
2026-01-01 10:20:00,0.0357,0.1237,low,0
2026-01-01 10:25:00,0.0466,0.0681,low,0
2026-01-01 10:30:00,0.0259,0.04,low,0
2026-01-01 10:35:00,0.0799,0.0,low,0
2026-01-01 10:40:00,0.0982,0.1264,low,0
2026-01-01 10:45:00,0.1003,0.0894,low,0
2026-01-01 10:50:00,0.0,0.0094,low,0
2026-01-01 10:55:00,0.0223,0.0741,low,0
2026-01-01 11:00:00,0.0083,0.0337,low,0
2026-01-01 11:05:00,0.0366,0.0464,low,0
2026-01-01 11:10:00,0.0025,0.0912,low,0
2026-01-01 11:15:00,0.0112,0.0,low,0
2026-01-01 11:20:00,0.0,0.1124,low,0
2026-01-01 11:25:00,0.0309,0.0009,low,0
2026-01-01 11:30:00,0.0,0.0269,low,0
2026-01-01 11:35:00,0.0133,0.1608,low,0
2026-01-01 11:40:00,0.0,0.1164,low,0
2026-01-01 11:45:00,0.0159,0.0704,low,0
